Period,Scenario,LoadLevel,P_Coal_Hardcoal,P_Oil,RES_Hydro_Large
2022,sc01,01-06 10:00:00+01:00,3.06327007710408e-05,0.0002955655505044688,0.0
2022,sc01,01-06 11:00:00+01:00,3.06327007710408e-05,0.00029052754108431207,0.0
2022,sc01,01-06 12:00:00+01:00,3.06327007710408e-05,0.0002950278460272237,0.0
2022,sc01,01-06 13:00:00+01:00,3.06327007710408e-05,0.00027118970945456294,0.0
2022,sc01,01-06 14:00:00+01:00,3.06327007710408e-05,0.000245797305004081,0.0
2022,sc01,01-06 15:00:00+01:00,3.06327007710408e-05,0.0002252094332045979,0.0
2022,sc01,01-06 16:00:00+01:00,3.06327007710408e-05,0.00024894987015399984,0.0
2022,sc01,01-06 17:00:00+01:00,3.06327007710408e-05,0.0003071232536185176,0.0
2022,sc01,01-06 18:00:00+01:00,3.06327007710408e-05,0.0003497477723124798,0.0
2022,sc01,01-06 19:00:00+01:00,3.06327007710408e-05,0.0003608906065294434,0.0
2022,sc01,01-06 20:00:00+01:00,3.06327007710408e-05,0.00032712465943185036,0.0
2022,sc01,01-06 21:00:00+01:00,3.06327007710408e-05,0.0002842255869706333,0.0
2022,sc01,01-06 22:00:00+01:00,3.06327007710408e-05,0.00023197126500484102,0.0
2022,sc01,01-06 23:00:00+01:00,3.06327007710408e-05,0.0001940632913206054,0.0
2022,sc01,01-07 00:00:00+01:00,3.06327007710408e-05,0.00017187311174260758,0.0
2022,sc01,01-07 01:00:00+01:00,3.06327007710408e-05,0.00016225367366561587,0.0
2022,sc01,01-07 02:00:00+01:00,3.06327007710408e-05,0.00015879633677110702,0.0
2022,sc01,01-07 03:00:00+01:00,3.06327007710408e-05,0.00015526131070971538,0.0
2022,sc01,01-07 04:00:00+01:00,3.06327007710408e-05,0.00017464478630760017,0.0
2022,sc01,01-07 05:00:00+01:00,3.06327007710408e-05,0.00022338453216351733,0.0
2022,sc01,01-07 06:00:00+01:00,3.06327007710408e-05,0.00028301237693205747,0.0
2022,sc01,01-07 07:00:00+01:00,3.06327007710408e-05,0.0003322192397227094,0.0
2022,sc01,01-07 08:00:00+01:00,3.06327007710408e-05,0.0003610328611257405,0.0
2022,sc01,01-07 09:00:00+01:00,3.06327007710408e-05,0.0003332739047629464,0.0
2022,sc01,01-07 10:00:00+01:00,3.06327007710408e-05,0.00028310281490136034,0.0
2022,sc01,01-07 11:00:00+01:00,3.06327007710408e-05,0.0002645400191195611,0.0
2022,sc01,01-07 12:00:00+01:00,3.06327007710408e-05,0.0002587978288295433,0.0
2022,sc01,01-07 13:00:00+01:00,3.06327007710408e-05,0.00023277224109431466,0.0
2022,sc01,01-07 14:00:00+01:00,3.06327007710408e-05,0.0002178521053760021,0.0
2022,sc01,01-07 15:00:00+01:00,3.06327007710408e-05,0.00021658611042125407,0.0
2022,sc01,01-07 16:00:00+01:00,3.06327007710408e-05,0.0002511208226560326,0.0
2022,sc01,01-07 17:00:00+01:00,3.06327007710408e-05,0.00030553504367290075,0.0
2022,sc01,01-07 18:00:00+01:00,3.06327007710408e-05,0.0003595232664550049,0.0
2022,sc01,01-07 19:00:00+01:00,3.06327007710408e-05,0.00036388792447459873,0.0
2022,sc01,01-07 20:00:00+01:00,3.06327007710408e-05,0.00033228322945537907,0.0
2022,sc01,01-07 21:00:00+01:00,3.06327007710408e-05,0.0002923038564677035,0.0
2022,sc01,01-07 22:00:00+01:00,3.06327007710408e-05,0.0002511547350056759,0.0
2022,sc01,01-07 23:00:00+01:00,3.06327007710408e-05,0.00021768189756786872,0.0
2022,sc01,01-08 00:00:00+01:00,3.06327007710408e-05,0.00019476118460867703,0.0
2022,sc01,01-08 01:00:00+01:00,3.06327007710408e-05,0.00018905362344165405,0.0
2022,sc01,01-08 02:00:00+01:00,3.06327007710408e-05,0.0001930087449956871,0.0
2022,sc01,01-08 03:00:00+01:00,3.06327007710408e-05,0.0001907350250785592,0.0
2022,sc01,01-08 04:00:00+01:00,3.06327007710408e-05,0.0002064853906256089,0.0
2022,sc01,01-08 05:00:00+01:00,3.06327007710408e-05,0.00024906171355041555,0.0
2022,sc01,01-08 06:00:00+01:00,3.06327007710408e-05,0.00031535674484230945,0.0
2022,sc01,01-08 07:00:00+01:00,3.06327007710408e-05,0.000380105401822527,0.0
2022,sc01,01-08 08:00:00+01:00,3.06327007710408e-05,0.0004135848648875391,0.0
2022,sc01,01-08 09:00:00+01:00,3.06327007710408e-05,0.0003705839916837727,0.0
2022,sc01,01-08 10:00:00+01:00,3.06327007710408e-05,0.00031554486966515056,0.0
2022,sc01,01-08 11:00:00+01:00,3.06327007710408e-05,0.0002991215001958028,0.0
2022,sc01,01-08 12:00:00+01:00,3.06327007710408e-05,0.0002984051758449317,0.0
2022,sc01,01-08 13:00:00+01:00,3.06327007710408e-05,0.0002769189073326702,0.0
2022,sc01,01-08 14:00:00+01:00,3.06327007710408e-05,0.00025831462550071963,0.0
2022,sc01,01-08 15:00:00+01:00,3.06327007710408e-05,0.00024734018809355286,0.0
2022,sc01,01-08 16:00:00+01:00,3.06327007710408e-05,0.00027051401349247723,0.0
2022,sc01,01-08 17:00:00+01:00,3.06327007710408e-05,0.00031633512797315405,0.0
2022,sc01,01-08 18:00:00+01:00,3.06327007710408e-05,0.00036714929306062535,0.0
2022,sc01,01-08 19:00:00+01:00,3.06327007710408e-05,0.0003775270332667407,0.0
2022,sc01,01-08 20:00:00+01:00,3.06327007710408e-05,0.00035715315909380635,0.0
2022,sc01,01-08 21:00:00+01:00,3.06327007710408e-05,0.00032156175676750185,0.0
2022,sc01,01-08 22:00:00+01:00,3.06327007710408e-05,0.0002608410354730285,0.0
2022,sc01,01-08 23:00:00+01:00,3.06327007710408e-05,0.00021921036501271811,0.0
2022,sc01,01-09 00:00:00+01:00,3.06327007710408e-05,0.00019279132637995216,0.0
2022,sc01,01-09 01:00:00+01:00,3.06327007710408e-05,0.00017997977836579936,0.0
2022,sc01,01-09 02:00:00+01:00,3.06327007710408e-05,0.00017155947608926318,0.0
2022,sc01,01-09 03:00:00+01:00,3.06327007710408e-05,0.00016347278007969586,0.0
2022,sc01,01-09 04:00:00+01:00,3.06327007710408e-05,0.00018536058810335348,0.0
2022,sc01,01-09 05:00:00+01:00,3.06327007710408e-05,0.0002428958169925286,0.0
