Period,Scenario,LoadLevel,Centrale_C_Cap_CTag,Diesel_Bel_Air,Gas_Turbines,Boutoute,Secondary_Plants,Kounoune_Power,Tobene_Power,ICS,Contour_Global,KPS_KarPowerShip,Aggreko_Boutoute,CES_Sendou,Solar_CICAD,Solar_DIASS,Manantali,PETN_Taiba_Ndiaye_Wind,PV_Bokhol,PV_Malicounda,PV_Senergy_or_Santhiou_Mekhe,PV_Ten_Merina,PV_Kahone,PV_Sakal,Malicounda_Power,Centrale_Kahone_Solaire,Centrale_Kael_Solaire,Felou_Gouina
2022,sc01,01-04 17:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.445494225,4.550856475,,7.579745898,9.03375986,23.74359904,5.935899777,5.836968097,6.685910428,3.957266508,,11.14318405,10.99387664,6.522723539
2022,sc01,01-04 18:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.166567795,2.08836473,,7.359136438,4.472653417,10.895816,2.723954008,2.678554767,3.180512157,1.815969334,,5.300853595,5.327075241,6.522723539
2022,sc01,01-04 19:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.023761284,0.193754304,,8.333769273,0.411880338,1.01089202,0.252723006,0.248510955,0.318741323,0.168482003,,0.531235538,0.476462406,6.522723539
2022,sc01,01-04 20:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,9.634377279,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.522723539
2022,sc01,01-04 21:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,12.2191299,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.522723539
2022,sc01,01-04 22:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,22.29143342,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.522723539
2022,sc01,01-04 23:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,29.76910628,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.522723539
2022,sc01,01-05 00:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,37.63860789,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.271932031
2022,sc01,01-05 01:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,48.19493515,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.271932031
2022,sc01,01-05 02:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,54.71773125,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.271932031
2022,sc01,01-05 03:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,60.3745529,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.271932031
2022,sc01,01-05 04:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,66.19600848,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.271932031
2022,sc01,01-05 05:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,65.67576528,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.271932031
2022,sc01,01-05 06:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,61.01003985,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.271932031
