Period,Scenario,LoadLevel,Centrale_Kael_Solaire,Centrale_Kahone_Solaire,Felou_Gouina,PETN_Taiba_Ndiaye_Wind,PV_Bokhol,PV_Kahone,PV_Malicounda,PV_Sakal,PV_Senergy_or_Santhiou_Mekhe,PV_Ten_Merina,Solar_CICAD,Solar_DIASS
2022,sc01,01-04 17:00:00+01:00,4.48713908001597e-06,4.548078740909507e-06,5.3244853764316886e-06,1.2374660967819098e-05,3.687119497029903e-06,2.7288472437294055e-06,9.690924743049842e-06,1.615154124385839e-06,2.422731192700993e-06,2.38235233253037e-06,1.818279950173179e-07,1.8574272392887447e-06
2022,sc01,01-04 18:00:00+01:00,2.1742401046330636e-06,2.1635377676538718e-06,5.3244853764316886e-06,1.2014494900179023e-05,1.8255087441828588e-06,1.298122660592323e-06,4.4471157338966915e-06,7.411859559215478e-07,1.1117789367393644e-06,1.0932492847189862e-06,6.798446870844539e-08,8.523638476363692e-07
2022,sc01,01-04 19:00:00+01:00,1.9446762521805374e-07,2.1682322089918494e-07,5.3244853764316886e-06,1.3605676328096249e-05,1.6810852272124337e-07,1.3009393262114077e-07,4.125945048459526e-07,6.876575067160913e-08,1.0314862661963709e-07,1.014294824753091e-07,9.698142840700293e-09,7.908061349683241e-08
2022,sc01,01-04 20:00:00+01:00,0.0,0.0,5.3244853764316886e-06,1.572904343602634e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-04 21:00:00+01:00,0.0,0.0,5.3244853764316886e-06,1.9948899589647074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-04 22:00:00+01:00,0.0,0.0,5.3244853764316886e-06,3.6392899547199593e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-04 23:00:00+01:00,0.0,0.0,5.3244853764316886e-06,4.860091650660429e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-05 00:00:00+01:00,0.0,0.0,5.119764800909033e-06,6.144863141946859e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-05 01:00:00+01:00,0.0,0.0,5.119764800909033e-06,7.868284647967465e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-05 02:00:00+01:00,0.0,0.0,5.119764800909033e-06,8.933193569531851e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-05 03:00:00+01:00,0.0,0.0,5.119764800909033e-06,9.856723870100893e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-05 04:00:00+01:00,0.0,0.0,5.119764800909033e-06,0.00010807132236174574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-05 05:00:00+01:00,0.0,0.0,5.119764800909033e-06,0.00010722197552249192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-05 06:00:00+01:00,0.0,0.0,5.119764800909033e-06,9.960473199716262e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-05 07:00:00+01:00,0.0,0.0,5.119764800909033e-06,8.968135053218548e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
