Period,Scenario,LoadLevel,Centrale_C_Cap_CTag,Contour_Global,Diesel_Bel_Air,Gas_Turbines,KPS_KarPowerShip,Kounoune_Power,Malicounda_Power,Manantali,Secondary_Plants,Tobene_Power
2022,sc01,01-04 05:00:00+01:00,121.26489935425683,68.4,265.79475307000007,29.6738022825,176.06472051076818,,,200.0,,12.043755506961046
2022,sc01,01-04 06:00:00+01:00,72.94309795458324,68.4,158.14867243797454,29.6738022825,266.0,,,200.0,,
2022,sc01,01-04 07:00:00+01:00,19.84478983214921,68.4,147.21887369093872,29.6738022825,266.0,,,200.0,,
2022,sc01,01-04 08:00:00+01:00,66.09431766191025,,265.79475307000007,29.6738022825,141.7888282362747,,,200.0,,
2022,sc01,01-04 09:00:00+01:00,46.998048891377906,68.4,146.07246319800416,29.6738022825,266.0,,,200.0,,
2022,sc01,01-04 10:00:00+01:00,100.73213781022295,68.4,150.39852735950026,29.6738022825,266.0,,,200.0,,1.018513883900174
2022,sc01,01-04 11:00:00+01:00,177.725446815,21.6824201128133,265.79475307000007,,147.93373177353652,,,200.0,,22.285538040027863
2022,sc01,01-04 12:00:00+01:00,177.725446815,,143.89655312257682,18.79624831450484,266.0,,0.35403666266776646,200.0,,20.295063495099186
2022,sc01,01-04 13:00:00+01:00,102.70226307154289,68.4,147.6659682484575,29.6738022825,266.0,,9.707561301522231,200.0,,21.401235071534867
2022,sc01,01-04 14:00:00+01:00,107.3715544040484,68.4,152.73325868891632,29.6738022825,266.0,,13.521065275869347,200.0,,16.06158275249557
2022,sc01,01-04 15:00:00+01:00,109.55820624149716,68.4,265.79475307000007,29.6738022825,156.79287482809718,,14.51341611079054,200.0,,8.242647733529312
2022,sc01,01-04 16:00:00+01:00,177.725446815,,153.52560177462382,8.507581755007648,266.0,,,200.0,,
2022,sc01,01-04 17:00:00+01:00,10.879279101494333,68.4,147.55990273579053,29.6738022825,266.0,,,200.0,,
2022,sc01,01-04 18:00:00+01:00,,,265.79475307000007,26.828619894239036,144.67706778386054,,,200.0,,
2022,sc01,01-04 19:00:00+01:00,,,265.79475307000007,,146.847535402081,,,200.0,,
2022,sc01,01-04 20:00:00+01:00,,0.12325615191753625,154.87586589949814,29.6738022825,266.0,,,200.0,,
2022,sc01,01-04 21:00:00+01:00,9.231673086680352,68.4,162.0747280829017,,266.0,,,200.0,,
2022,sc01,01-04 22:00:00+01:00,51.64293325445507,68.4,265.79475307000007,29.6738022825,172.37688309606335,,,200.0,,
2022,sc01,01-04 23:00:00+01:00,101.8348467199731,68.4,265.79475307000007,29.6738022825,183.4337053296814,,,200.0,,
2022,sc01,01-05 00:00:00+01:00,128.33285591146065,68.4,188.7073705209324,29.6738022825,266.0,1.6296396279159366,,200.0,,4.8926591099265755
2022,sc01,01-05 01:00:00+01:00,177.725446815,20.653828866945133,191.27695005425832,29.6738022825,266.0,4.334446800763475,,200.0,0.30935224291912466,21.863246341666866
