Period,Scenario,LoadLevel,MW
2022,sc01,01-04 18:00:00+01:00,592.3882946285805
2022,sc01,01-04 19:00:00+01:00,613.3432148480084
2022,sc01,01-04 20:00:00+01:00,578.2852255644924
2022,sc01,01-04 21:00:00+01:00,528.0461890952253
2022,sc01,01-04 22:00:00+01:00,452.5522634983222
2022,sc01,01-04 23:00:00+01:00,394.5261584972388
2022,sc01,01-05 00:00:00+01:00,357.9149346752459
2022,sc01,01-05 01:00:00+01:00,334.2742828523406
2022,sc01,01-05 02:00:00+01:00,321.2093246770474
2022,sc01,01-05 03:00:00+01:00,309.01034095175424
2022,sc01,01-05 04:00:00+01:00,329.3575340852459
2022,sc01,01-05 05:00:00+01:00,395.29939870016295
2022,sc01,01-05 06:00:00+01:00,479.50607065322527
2022,sc01,01-05 07:00:00+01:00,547.28767991167
2022,sc01,01-05 08:00:00+01:00,574.6581178224342
2022,sc01,01-05 09:00:00+01:00,534.61672081567
2022,sc01,01-05 10:00:00+01:00,498.413225278677
2022,sc01,01-05 11:00:00+01:00,489.4441044642631
2022,sc01,01-05 12:00:00+01:00,494.4390579991284
2022,sc01,01-05 13:00:00+01:00,463.6957280792631
2022,sc01,01-05 14:00:00+01:00,446.5025979673198
2022,sc01,01-05 15:00:00+01:00,434.8154404556837
2022,sc01,01-05 16:00:00+01:00,474.81904787454897
2022,sc01,01-05 17:00:00+01:00,531.7177436061284
2022,sc01,01-05 18:00:00+01:00,580.2368878405805
2022,sc01,01-05 19:00:00+01:00,571.0658134330084
2022,sc01,01-05 20:00:00+01:00,534.5590030814924
2022,sc01,01-05 21:00:00+01:00,490.92837235322526
2022,sc01,01-05 22:00:00+01:00,413.5477419763222
2022,sc01,01-05 23:00:00+01:00,361.8238236152388
2022,sc01,01-06 00:00:00+01:00,331.0145458762459
2022,sc01,01-06 01:00:00+01:00,315.57924886334064
2022,sc01,01-06 02:00:00+01:00,310.0413537280474
2022,sc01,01-06 03:00:00+01:00,302.00760829275424
2022,sc01,01-06 04:00:00+01:00,320.77102307624585
2022,sc01,01-06 05:00:00+01:00,377.2563150511629
2022,sc01,01-06 06:00:00+01:00,458.2032352842253
2022,sc01,01-06 07:00:00+01:00,520.71655895267
2022,sc01,01-06 08:00:00+01:00,546.6941938634342
2022,sc01,01-06 09:00:00+01:00,496.76537774867
2022,sc01,01-06 10:00:00+01:00,449.503467253677
2022,sc01,01-06 11:00:00+01:00,443.4164211482631
2022,sc01,01-06 12:00:00+01:00,450.0220415391284
2022,sc01,01-06 13:00:00+01:00,416.9119017022631
2022,sc01,01-06 14:00:00+01:00,381.12479606931976
2022,sc01,01-06 15:00:00+01:00,351.7987030606837
2022,sc01,01-06 16:00:00+01:00,384.73626210654896
2022,sc01,01-06 17:00:00+01:00,464.61105340412837
2022,sc01,01-06 18:00:00+01:00,521.3281079135805
2022,sc01,01-06 19:00:00+01:00,534.4566859730085
2022,sc01,01-06 20:00:00+01:00,488.89363952249244
2022,sc01,01-06 21:00:00+01:00,430.43937020422527
2022,sc01,01-06 22:00:00+01:00,358.2875133273222
2022,sc01,01-06 23:00:00+01:00,305.7239618862387
2022,sc01,01-07 00:00:00+01:00,274.9973825902459
2022,sc01,01-07 01:00:00+01:00,261.6957413273406
2022,sc01,01-07 02:00:00+01:00,256.9908938520474
2022,sc01,01-07 03:00:00+01:00,252.17409527675426
2022,sc01,01-07 04:00:00+01:00,278.9914016902459
2022,sc01,01-07 05:00:00+01:00,346.1252159051629
2022,sc01,01-07 06:00:00+01:00,428.67237782822525
2022,sc01,01-07 07:00:00+01:00,495.77898798666996
2022,sc01,01-07 08:00:00+01:00,534.5289228274341
2022,sc01,01-07 09:00:00+01:00,498.76625508166995
2022,sc01,01-07 10:00:00+01:00,431.50807508767696
2022,sc01,01-07 11:00:00+01:00,406.1996588002631
2022,sc01,01-07 12:00:00+01:00,398.1502246741284
2022,sc01,01-07 13:00:00+01:00,361.6719341782631
2022,sc01,01-07 14:00:00+01:00,340.9696711803198
2022,sc01,01-07 15:00:00+01:00,339.4766702956837
2022,sc01,01-07 16:00:00+01:00,388.033710928549
2022,sc01,01-07 17:00:00+01:00,463.3165789121284
2022,sc01,01-07 18:00:00+01:00,534.7880019895805
2022,sc01,01-07 19:00:00+01:00,538.5693821010084
2022,sc01,01-07 20:00:00+01:00,495.84895251649243
2022,sc01,01-07 21:00:00+01:00,442.05053059822524
2022,sc01,01-07 22:00:00+01:00,385.9109692013222
2022,sc01,01-07 23:00:00+01:00,339.73850678023877
2022,sc01,01-08 00:00:00+01:00,307.9575967252459
2022,sc01,01-08 01:00:00+01:00,300.2930209723406
2022,sc01,01-08 02:00:00+01:00,306.2696225370474
2022,sc01,01-08 03:00:00+01:00,303.27038252175424
