Region,Sector,Technology,Type,PathwayScenario,Year,Value
Diourbel,Power,RES_PV_Utility_Opt,NewCapacity,BAU_BAU,2040,0.008494599498394505
Diourbel,Power,RES_PV_Utility_Opt,NewCapacity,BAU_BAU,2045,0.03849504015822212
Diourbel,Power,RES_PV_Utility_Opt,NewCapacity,BAU_BAU,2050,0.008495040158222195
Thies,Power,P_Gas_CCGT,NewCapacity,BAU_BAU,2025,0.10934411028884243
Thies,Power,P_Oil,NewCapacity,BAU_BAU,2035,0.03337872840396264
Thies,Power,P_Oil,NewCapacity,BAU_BAU,2045,0.04164959011129665
Thies,Power,P_Oil,NewCapacity,BAU_BAU,2050,0.02808686436583456
Thies,Power,P_Coal_Hardcoal,NewCapacity,BAU_BAU,2030,0.005426899489822884
Thies,Power,RES_PV_Utility_Opt,NewCapacity,BAU_BAU,2025,0.14126517613254916
Thies,Power,RES_PV_Utility_Opt,NewCapacity,BAU_BAU,2030,0.03931189751358438
Thies,Power,RES_PV_Utility_Opt,NewCapacity,BAU_BAU,2035,0.15006384040709378
Thies,Power,RES_PV_Utility_Opt,NewCapacity,BAU_BAU,2050,0.19303393961457965
Thies,Power,RES_Wind_Onshore_Opt,NewCapacity,BAU_BAU,2025,0.031243029204454126
Thies,Power,RES_Wind_Onshore_Opt,NewCapacity,BAU_BAU,2030,0.06976072076760045
Thies,Power,RES_Wind_Onshore_Opt,NewCapacity,BAU_BAU,2040,0.27805276122258116
Thies,Power,RES_Wind_Onshore_Opt,NewCapacity,BAU_BAU,2045,0.35872315930120313
LS,Power,RES_PV_Utility_Opt,NewCapacity,BAU_BAU,2025,0.021065977464806845
LS,Power,RES_PV_Utility_Opt,NewCapacity,BAU_BAU,2030,0.012184937122164056
LS,Power,RES_PV_Utility_Opt,NewCapacity,BAU_BAU,2035,0.2021998682619966
LS,Power,RES_PV_Utility_Opt,NewCapacity,BAU_BAU,2040,0.5763288952302102
LS,Power,RES_PV_Utility_Opt,NewCapacity,BAU_BAU,2045,0.7438415377336898
LS,Power,RES_PV_Utility_Opt,NewCapacity,BAU_BAU,2050,0.19502116950292048
FKK,Power,P_Gas_CCGT,NewCapacity,BAU_BAU,2045,0.0174995881365323
FKK,Power,P_Gas_CCGT,NewCapacity,BAU_BAU,2050,0.08887348732190686
FKK,Power,RES_PV_Utility_Opt,NewCapacity,BAU_BAU,2025,0.02352350237056256
FKK,Power,RES_PV_Utility_Opt,NewCapacity,BAU_BAU,2030,0.021034805499565476
FKK,Power,RES_PV_Utility_Opt,NewCapacity,BAU_BAU,2035,0.02103589668623871
FKK,Power,RES_PV_Utility_Opt,NewCapacity,BAU_BAU,2040,0.021034805499565545
FKK,Power,RES_PV_Utility_Opt,NewCapacity,BAU_BAU,2045,0.0770358966862387
FKK,Power,RES_PV_Utility_Opt,NewCapacity,BAU_BAU,2050,0.02103589668623876
ZS,Power,P_Gas_CCGT,NewCapacity,BAU_BAU,2045,0.15258030278090592
ZS,Power,P_Gas_CCGT,NewCapacity,BAU_BAU,2050,0.09668853317240875
ZS,Power,P_Oil,NewCapacity,BAU_BAU,2035,9.02104932303761e-5
MTKK,Power,P_Gas_CCGT,NewCapacity,BAU_BAU,2045,0.025453985141314764
MTKK,Power,P_Gas_CCGT,NewCapacity,BAU_BAU,2050,0.08432386948087897
MTKK,Power,RES_Hydro_Small,NewCapacity,BAU_BAU,2045,0.11306338337835281
MTKK,Power,RES_PV_Utility_Inf,NewCapacity,BAU_BAU,2035,0.0241230139697394
MTKK,Power,RES_PV_Utility_Inf,NewCapacity,BAU_BAU,2040,0.21720042993968647
MTKK,Power,RES_PV_Utility_Inf,NewCapacity,BAU_BAU,2045,0.38687136077152895
MTKK,Power,RES_PV_Utility_Inf,NewCapacity,BAU_BAU,2050,0.14846710436414456
MTKK,Power,P_Oil,NewCapacity,BAU_BAU,2030,0.002819364201981405
MTKK,Power,RES_Hydro_Large,NewCapacity,BAU_BAU,2045,0.13769841634151933
MTKK,Power,RES_Hydro_Small,ResidualCapacity,BAU_BAU,2022,0.2
Dakar,Power,P_Oil,ResidualCapacity,BAU_BAU,2022,0.9064999999999999
Thies,Power,P_Oil,ResidualCapacity,BAU_BAU,2022,0.235
ZS,Power,P_Oil,ResidualCapacity,BAU_BAU,2022,0.012
MTKK,Power,P_Oil,ResidualCapacity,BAU_BAU,2022,0.01387
Dakar,Power,P_Coal_Hardcoal,ResidualCapacity,BAU_BAU,2022,0.125
Thies,Power,P_Coal_Hardcoal,ResidualCapacity,BAU_BAU,2022,0.02
MTKK,Power,RES_Hydro_Large,ResidualCapacity,BAU_BAU,2022,0.2
Dakar,Power,RES_PV_Utility_Opt,ResidualCapacity,BAU_BAU,2022,0.002
Diourbel,Power,RES_PV_Utility_Opt,ResidualCapacity,BAU_BAU,2022,0.03
Thies,Power,RES_PV_Utility_Opt,ResidualCapacity,BAU_BAU,2022,0.1245
LS,Power,RES_PV_Utility_Opt,ResidualCapacity,BAU_BAU,2022,0.025
FKK,Power,RES_PV_Utility_Opt,ResidualCapacity,BAU_BAU,2022,0.056
Thies,Power,RES_Wind_Onshore_Opt,ResidualCapacity,BAU_BAU,2022,0.1587
