Type,Sector,Region,Fuel,Year,Value
Final Energy Demand [TWh],Industry,MTKK,Hardcoal,2030,0.7951337923226293
Final Energy Demand [TWh],Industry,MTKK,Hardcoal,2035,1.0358054686494198
Final Energy Demand [TWh],Industry,MTKK,Hardcoal,2040,1.4010346941792788
Final Energy Demand [TWh],Industry,MTKK,Hardcoal,2045,1.9838311630937508
Final Energy Demand [TWh],Industry,MTKK,Hardcoal,2050,2.8342459696255187
Final Energy Demand [TWh],Industry,MTKK,Biomass,2022,0.22027400700000013
Final Energy Demand [TWh],Industry,MTKK,Biomass,2025,0.2579067639653162
Final Energy Demand [TWh],Industry,MTKK,Biomass,2030,0.263826811023498
Final Energy Demand [TWh],Industry,MTKK,Biomass,2035,0.39050890989645526
Final Energy Demand [TWh],Industry,MTKK,Biomass,2040,0.5436899772800078
Final Energy Demand [TWh],Industry,MTKK,Biomass,2045,0.48536362848635617
Final Energy Demand [TWh],Industry,MTKK,Biomass,2050,0.37410482552637087
Final Energy Demand [TWh],Industry,MTKK,Power,2025,0.014138524665763359
Final Energy Demand [TWh],Industry,MTKK,Power,2030,0.1171898703028605
Final Energy Demand [TWh],Industry,MTKK,Power,2035,0.1664830012782521
Final Energy Demand [TWh],Industry,MTKK,Power,2040,0.2633772866345846
Final Energy Demand [TWh],Industry,MTKK,Power,2045,0.6268368893062713
Final Energy Demand [TWh],Industry,MTKK,Power,2050,1.1823619944122896
Final Energy Demand [TWh],Industry,MTKK,Gas_Bio,2025,0.026877920686214925
Final Energy Demand [TWh],Industry,MTKK,Gas_Bio,2030,0.06875
Final Energy Demand [TWh],Transportation,Dakar,Oil,2022,4.670252916828822
Final Energy Demand [TWh],Transportation,Dakar,Oil,2025,4.7064183649069875
Final Energy Demand [TWh],Transportation,Dakar,Oil,2030,4.792180310471274
Final Energy Demand [TWh],Transportation,Dakar,Oil,2035,5.412389498629778
Final Energy Demand [TWh],Transportation,Dakar,Oil,2040,6.078653936254128
Final Energy Demand [TWh],Transportation,Dakar,Oil,2045,7.0968100116306525
Final Energy Demand [TWh],Transportation,Dakar,Oil,2050,8.422990149568763
Final Energy Demand [TWh],Transportation,Dakar,Power,2022,0.0029072988793798237
Final Energy Demand [TWh],Transportation,Dakar,Power,2025,0.041440763857374906
Final Energy Demand [TWh],Transportation,Dakar,Power,2030,0.34163335711739634
Final Energy Demand [TWh],Transportation,Dakar,Power,2035,0.5457176619188674
Final Energy Demand [TWh],Transportation,Dakar,Power,2040,0.8439372123871879
Final Energy Demand [TWh],Transportation,Dakar,Power,2045,1.298989505236256
Final Energy Demand [TWh],Transportation,Dakar,Power,2050,1.8304441009685333
Final Energy Demand [TWh],Transportation,Diourbel,Oil,2022,1.1367345649956966
Final Energy Demand [TWh],Transportation,Diourbel,Oil,2025,1.2048489921150674
Final Energy Demand [TWh],Transportation,Diourbel,Oil,2030,1.2844461391793913
Final Energy Demand [TWh],Transportation,Diourbel,Oil,2035,1.477590625694094
Final Energy Demand [TWh],Transportation,Diourbel,Oil,2040,1.726224083258815
Final Energy Demand [TWh],Transportation,Diourbel,Oil,2045,2.063754204641258
Final Energy Demand [TWh],Transportation,Diourbel,Oil,2050,2.440533241316493
Final Energy Demand [TWh],Transportation,Diourbel,Power,2030,0.06530888893440052
Final Energy Demand [TWh],Transportation,Diourbel,Power,2035,0.123690012666531
Final Energy Demand [TWh],Transportation,Diourbel,Power,2040,0.17219283288549336
Final Energy Demand [TWh],Transportation,Diourbel,Power,2045,0.2716287836013909
Final Energy Demand [TWh],Transportation,Diourbel,Power,2050,0.40484718786593243
Final Energy Demand [TWh],Transportation,Thies,Oil,2022,1.5733805387335833
Final Energy Demand [TWh],Transportation,Thies,Oil,2025,1.6317009146382362
Final Energy Demand [TWh],Transportation,Thies,Oil,2030,1.6227491332081194
Final Energy Demand [TWh],Transportation,Thies,Oil,2035,1.8178007840184824
Final Energy Demand [TWh],Transportation,Thies,Oil,2040,2.0704310827088155
Final Energy Demand [TWh],Transportation,Thies,Oil,2045,2.447027082297179
Final Energy Demand [TWh],Transportation,Thies,Oil,2050,2.8980097055627883
Final Energy Demand [TWh],Transportation,Thies,Power,2030,0.08163027967239693
Final Energy Demand [TWh],Transportation,Thies,Power,2035,0.14176858538246953
Final Energy Demand [TWh],Transportation,Thies,Power,2040,0.19244038215893514
Final Energy Demand [TWh],Transportation,Thies,Power,2045,0.30294270549326047
Final Energy Demand [TWh],Transportation,Thies,Power,2050,0.42446079086129695
Final Energy Demand [TWh],Transportation,LS,Oil,2022,1.4446412655286833
Final Energy Demand [TWh],Transportation,LS,Oil,2025,1.5213451842260715
Final Energy Demand [TWh],Transportation,LS,Oil,2030,1.5375573986971498
Final Energy Demand [TWh],Transportation,LS,Oil,2035,1.7359647446253208
Final Energy Demand [TWh],Transportation,LS,Oil,2040,1.9913357020569065
Final Energy Demand [TWh],Transportation,LS,Oil,2045,2.3604276147000625
Final Energy Demand [TWh],Transportation,LS,Oil,2050,2.8041745075019526
Final Energy Demand [TWh],Transportation,LS,Power,2030,0.08326670513922328
Final Energy Demand [TWh],Transportation,LS,Power,2035,0.1453390362819702
Final Energy Demand [TWh],Transportation,LS,Power,2040,0.20521239292994503
Final Energy Demand [TWh],Transportation,LS,Power,2045,0.3204989513982317
Final Energy Demand [TWh],Transportation,LS,Power,2050,0.45656675233058663
Final Energy Demand [TWh],Transportation,FKK,Oil,2022,1.6967187053919845
Final Energy Demand [TWh],Transportation,FKK,Oil,2025,1.7842212191160072
Final Energy Demand [TWh],Transportation,FKK,Oil,2030,1.837885772618132
Final Energy Demand [TWh],Transportation,FKK,Oil,2035,2.086082756767093
Final Energy Demand [TWh],Transportation,FKK,Oil,2040,2.4112261289699335
Final Energy Demand [TWh],Transportation,FKK,Oil,2045,2.8636146726468246
