Timestep,a_0,b
60,-9990.8037307170761778,885003679.17980313301
60,-3319.8284467385242351,919186419.19554197788
60,-756.14449137552776392,957310412.74728381634
60,-260.10376171270536361,959173672.00140273571
60,-260.1054024345425546,959174222.27610015869
61,0,805802109.72146570683
61,-9990.8037307170761778,882415461.26938474178
61,-3319.8284467385242351,908869970.17487859726
61,-756.14449137552776392,944023971.8952524662
61,-260.10376171270536361,945320181.42077231407
61,-260.1054024345425546,945320721.54378437996
62,0,796256364.13878619671
62,-9990.8037307170761778,878261732.85366630554
62,-3319.8284467385242351,897911152.57367217541
62,-756.14449137552776392,930449929.80032777786
62,-260.10376171270536361,931248176.98331212997
62,-260.1054024345425546,931248706.17143464088
63,0,787002962.72999346256
63,-9990.8037307170761778,872901556.07813167572
63,-3319.8284467385242351,886813063.17510604858
63,-756.14449137552776392,917146736.36483478546
63,-260.10376171270536361,917525975.21731245518
63,-260.1054024345425546,917526493.98444676399
64,0,777443965.00261688232
64,-9990.8037307170761778,865469399.17326235771
64,-3319.8284467385242351,874744397.23848628998
64,-756.14449137552776392,903296240.4397059679
64,-260.10376171270536361,903339103.72964668274
64,-260.1054024345425546,903339610.6940279007
65,0,762909243.66305041313
65,-9990.8037307170761778,849543243.03619766235
65,-3319.8284467385242351,855210398.88268232346
65,-756.14449137552776392,882375733.09294879436
65,-260.10376171270536361,882174482.70557892323
65,-260.1054024345425546,882174958.60667002201
66,0,748605261.79988670349
66,-9990.8037307170761778,832762831.68369197845
66,-3319.8284467385242351,835594562.67996633053
66,-756.14449137552776392,861670231.15386271477
66,-260.10376171270536361,861281692.98097920418
66,-260.1054024345425546,861282138.38727128506
67,0,733888406.32049119473
67,-9990.8037307170761778,814670409.59757256508
67,-3319.8284467385242351,815163243.45136535168
67,-756.14449137552776392,840340063.88248348236
67,-260.10376171270536361,839802496.46141505241
67,-260.1054024345425546,839802909.69456171989
68,0,718498985.25134241581
68,-9990.8037307170761778,795214907.19370007515
68,-3319.8284467385242351,793658215.70005595684
68,-756.14449137552776392,818047394.89047670364
68,-260.10376171270536361,817384175.01596593857
68,-260.1054024345425546,817384553.49446487427
69,0,701772239.37104249001
69,-9990.8037307170761778,773599194.84138393402
69,-3319.8284467385242351,770371263.55458390713
69,-756.14449137552776392,794118178.23930811882
69,-260.10376171270536361,793358585.80842256546
69,-260.1054024345425546,793358926.19797956944
70,0,683976702.43756687641
70,-9990.8037307170779968,750288632.90397202969
70,-3319.8284467385242351,745616428.5937769413
70,-756.14449137552776392,768808303.06029891968
70,-260.10376171270536361,767970987.20724201202
