Period,Scenario,LoadLevel,Senegal
2030,sc01,01-31 01:00:00+01:00,-569.0554403723313
2030,sc01,01-31 03:00:00+01:00,-603.7291577538313
2030,sc01,01-31 05:00:00+01:00,-485.8385185588313
2030,sc01,01-31 07:00:00+01:00,-179.70522277233124
2030,sc01,01-31 09:00:00+01:00,-84.91222438283108
2030,sc01,01-31 11:00:00+01:00,-162.14447416583155
2030,sc01,01-31 13:00:00+01:00,-127.47075652233097
2030,sc01,01-31 15:00:00+01:00,-219.02027266033141
2030,sc01,01-31 17:00:00+01:00,-151.51846827933068
2030,sc01,01-31 19:00:00+01:00,-51.18857786483089
2030,sc01,01-31 21:00:00+01:00,-194.9725608968311
2030,sc01,01-31 23:00:00+01:00,-438.6386541353311
2030,sc01,02-01 01:00:00+01:00,-566.5834872753313
2030,sc01,02-01 03:00:00+01:00,-601.3596382493312
2030,sc01,02-01 05:00:00+01:00,-483.1207254368314
2030,sc01,02-01 07:00:00+01:00,-176.08304726083102
2030,sc01,02-01 09:00:00+01:00,-81.01001109833118
2030,sc01,02-01 11:00:00+01:00,-158.47042084083097
2030,sc01,02-01 13:00:00+01:00,-123.6942698508312
2030,sc01,02-01 15:00:00+01:00,-215.5142424053309
2030,sc01,02-01 17:00:00+01:00,-147.8130240873312
2030,sc01,02-01 19:00:00+01:00,-47.18673773833149
2030,sc01,02-01 21:00:00+01:00,-191.39548840833132
2030,sc01,02-01 23:00:00+01:00,-435.78142325783074
2030,sc01,02-02 01:00:00+01:00,-566.5834872753313
2030,sc01,02-02 03:00:00+01:00,-601.3596382493312
2030,sc01,02-02 05:00:00+01:00,-483.1207254368314
2030,sc01,02-02 07:00:00+01:00,-176.08304726083102
2030,sc01,02-02 09:00:00+01:00,-81.01001109833118
2030,sc01,02-02 11:00:00+01:00,-158.47042084083097
2030,sc01,02-02 13:00:00+01:00,-123.6942698508312
2030,sc01,02-02 15:00:00+01:00,-215.5142424053309
2030,sc01,02-02 17:00:00+01:00,-147.8130240873312
2030,sc01,02-02 19:00:00+01:00,-47.18673773833149
2030,sc01,02-02 21:00:00+01:00,-191.39548840833132
2030,sc01,02-02 23:00:00+01:00,-435.78142325783074
2030,sc01,02-03 01:00:00+01:00,-566.5834872753313
2030,sc01,02-03 03:00:00+01:00,-601.3596382493312
2030,sc01,02-03 05:00:00+01:00,-483.1207254368314
2030,sc01,02-03 07:00:00+01:00,-176.08304726083102
2030,sc01,02-03 09:00:00+01:00,-81.01001109833118
2030,sc01,02-03 11:00:00+01:00,-158.47042084083097
2030,sc01,02-03 13:00:00+01:00,-123.6942698508312
2030,sc01,02-03 15:00:00+01:00,-215.5142424053309
2030,sc01,02-03 17:00:00+01:00,-147.8130240873312
2030,sc01,02-03 19:00:00+01:00,-47.18673773833149
2030,sc01,02-03 21:00:00+01:00,-191.39548840833132
2030,sc01,02-03 23:00:00+01:00,-435.78142325783074
2030,sc01,02-04 01:00:00+01:00,-566.5834872753313
2030,sc01,02-04 03:00:00+01:00,-601.3596382493312
2030,sc01,02-04 05:00:00+01:00,-483.1207254368314
2030,sc01,02-04 07:00:00+01:00,-176.08304726083102
2030,sc01,02-04 09:00:00+01:00,-81.01001109833118
2030,sc01,02-04 11:00:00+01:00,-158.47042084083097
2030,sc01,02-04 13:00:00+01:00,-123.6942698508312
2030,sc01,02-04 15:00:00+01:00,-215.5142424053309
2030,sc01,02-04 17:00:00+01:00,-147.8130240873312
2030,sc01,02-04 19:00:00+01:00,-47.18673773833149
2030,sc01,02-04 21:00:00+01:00,-191.39548840833132
2030,sc01,02-04 23:00:00+01:00,-435.78142325783074
2030,sc01,02-05 01:00:00+01:00,-566.5834872753313
2030,sc01,02-05 03:00:00+01:00,-601.3596382493312
2030,sc01,02-05 05:00:00+01:00,-483.1207254368314
2030,sc01,02-05 07:00:00+01:00,-176.08304726083102
2030,sc01,02-05 09:00:00+01:00,-81.01001109833118
2030,sc01,02-05 11:00:00+01:00,-158.47042084083097
2030,sc01,02-05 13:00:00+01:00,-123.6942698508312
2030,sc01,02-05 15:00:00+01:00,-215.5142424053309
2030,sc01,02-05 17:00:00+01:00,-147.8130240873312
2030,sc01,02-05 19:00:00+01:00,-47.18673773833149
2030,sc01,02-05 21:00:00+01:00,-191.39548840833132
2030,sc01,02-05 23:00:00+01:00,-435.78142325783074
2030,sc01,02-06 01:00:00+01:00,-566.5834872753313
2030,sc01,02-06 03:00:00+01:00,-601.3596382493312
2030,sc01,02-06 05:00:00+01:00,-483.1207254368314
2030,sc01,02-06 07:00:00+01:00,-176.08304726083102
2030,sc01,02-06 09:00:00+01:00,-81.01001109833118
2030,sc01,02-06 11:00:00+01:00,-158.47042084083097
2030,sc01,02-06 13:00:00+01:00,-123.6942698508312
2030,sc01,02-06 15:00:00+01:00,-215.5142424053309
2030,sc01,02-06 17:00:00+01:00,-147.8130240873312
2030,sc01,02-06 19:00:00+01:00,-47.18673773833149
2030,sc01,02-06 21:00:00+01:00,-191.39548840833132
2030,sc01,02-06 23:00:00+01:00,-435.78142325783074
2030,sc01,02-07 01:00:00+01:00,-566.5834872753313
2030,sc01,02-07 03:00:00+01:00,-601.3596382493312
2030,sc01,02-07 05:00:00+01:00,-483.1207254368314
2030,sc01,02-07 07:00:00+01:00,-176.08304726083102
2030,sc01,02-07 09:00:00+01:00,-81.01001109833118
2030,sc01,02-07 11:00:00+01:00,-158.47042084083097
2030,sc01,02-07 13:00:00+01:00,-123.6942698508312
2030,sc01,02-07 15:00:00+01:00,-215.5142424053309
2030,sc01,02-07 17:00:00+01:00,-147.8130240873312
2030,sc01,02-07 19:00:00+01:00,-47.18673773833149
2030,sc01,02-07 21:00:00+01:00,-191.39548840833132
