Period,Scenario,LoadLevel,Manantali
2030,sc01,01-29 03:00:00+01:00,16.378891463040052
2030,sc01,01-29 05:00:00+01:00,16.41924229948005
2030,sc01,01-29 07:00:00+01:00,16.45959313592005
2030,sc01,01-29 09:00:00+01:00,16.499943972360047
2030,sc01,01-29 11:00:00+01:00,16.540294808800045
2030,sc01,01-29 13:00:00+01:00,16.580645645240043
2030,sc01,01-29 15:00:00+01:00,16.62099648168004
2030,sc01,01-29 17:00:00+01:00,16.66134731812004
2030,sc01,01-29 19:00:00+01:00,16.701698154560038
2030,sc01,01-29 21:00:00+01:00,16.742048991000036
2030,sc01,01-29 23:00:00+01:00,16.782399827440035
2030,sc01,01-30 01:00:00+01:00,16.822162138120035
2030,sc01,01-30 03:00:00+01:00,16.861924448800035
2030,sc01,01-30 05:00:00+01:00,16.901686759480036
2030,sc01,01-30 07:00:00+01:00,16.941449070160036
2030,sc01,01-30 09:00:00+01:00,16.981211380840037
2030,sc01,01-30 11:00:00+01:00,17.020973691520037
2030,sc01,01-30 13:00:00+01:00,17.060736002200038
2030,sc01,01-30 15:00:00+01:00,17.10049831288004
2030,sc01,01-30 17:00:00+01:00,17.14026062356004
2030,sc01,01-30 19:00:00+01:00,17.18002293424004
2030,sc01,01-30 21:00:00+01:00,17.21978524492004
2030,sc01,01-30 23:00:00+01:00,17.25954755560004
2030,sc01,01-31 01:00:00+01:00,17.29860179514004
2030,sc01,01-31 03:00:00+01:00,17.33765603468004
2030,sc01,01-31 05:00:00+01:00,17.37671027422004
2030,sc01,01-31 07:00:00+01:00,17.415764513760042
2030,sc01,01-31 09:00:00+01:00,17.454818753300042
2030,sc01,01-31 11:00:00+01:00,17.493872992840043
2030,sc01,01-31 13:00:00+01:00,17.532927232380043
2030,sc01,01-31 15:00:00+01:00,17.571981471920044
2030,sc01,01-31 17:00:00+01:00,17.611035711460044
2030,sc01,01-31 19:00:00+01:00,17.650089951000044
2030,sc01,01-31 21:00:00+01:00,17.689144190540045
2030,sc01,01-31 23:00:00+01:00,17.728198430080045
2030,sc01,02-01 01:00:00+01:00,17.767169907960046
2030,sc01,02-01 03:00:00+01:00,17.806141385840046
2030,sc01,02-01 05:00:00+01:00,17.845112863720047
2030,sc01,02-01 07:00:00+01:00,17.884084341600047
2030,sc01,02-01 09:00:00+01:00,17.923055819480048
2030,sc01,02-01 11:00:00+01:00,17.96202729736005
2030,sc01,02-01 13:00:00+01:00,18.00099877524005
2030,sc01,02-01 15:00:00+01:00,18.03997025312005
2030,sc01,02-01 17:00:00+01:00,18.07894173100005
2030,sc01,02-01 19:00:00+01:00,18.11791320888005
2030,sc01,02-01 21:00:00+01:00,18.15688468676005
2030,sc01,02-01 23:00:00+01:00,18.195856164640052
2030,sc01,02-02 01:00:00+01:00,18.234358658660053
2030,sc01,02-02 03:00:00+01:00,18.272861152680054
2030,sc01,02-02 05:00:00+01:00,18.311363646700055
2030,sc01,02-02 07:00:00+01:00,18.349866140720057
2030,sc01,02-02 09:00:00+01:00,18.388368634740058
2030,sc01,02-02 11:00:00+01:00,18.42687112876006
2030,sc01,02-02 13:00:00+01:00,18.46537362278006
2030,sc01,02-02 15:00:00+01:00,18.50387611680006
2030,sc01,02-02 17:00:00+01:00,18.542378610820062
2030,sc01,02-02 19:00:00+01:00,18.580881104840064
2030,sc01,02-02 21:00:00+01:00,18.619383598860065
2030,sc01,02-02 23:00:00+01:00,18.657886092880066
2030,sc01,02-03 01:00:00+01:00,18.696002368180064
2030,sc01,02-03 03:00:00+01:00,18.734118643480063
2030,sc01,02-03 05:00:00+01:00,18.77223491878006
2030,sc01,02-03 07:00:00+01:00,18.81035119408006
2030,sc01,02-03 09:00:00+01:00,18.848467469380058
2030,sc01,02-03 11:00:00+01:00,18.886583744680056
2030,sc01,02-03 13:00:00+01:00,18.924700019980055
2030,sc01,02-03 15:00:00+01:00,18.962816295280053
2030,sc01,02-03 17:00:00+01:00,19.00093257058005
2030,sc01,02-03 19:00:00+01:00,19.03904884588005
2030,sc01,02-03 21:00:00+01:00,19.077165121180048
2030,sc01,02-03 23:00:00+01:00,19.115281396480047
2030,sc01,02-04 01:00:00+01:00,19.152882710000046
2030,sc01,02-04 03:00:00+01:00,19.190484023520046
2030,sc01,02-04 05:00:00+01:00,19.228085337040046
2030,sc01,02-04 07:00:00+01:00,19.265686650560045
2030,sc01,02-04 09:00:00+01:00,19.303287964080045
2030,sc01,02-04 11:00:00+01:00,19.340889277600045
2030,sc01,02-04 13:00:00+01:00,19.378490591120045
2030,sc01,02-04 15:00:00+01:00,19.416091904640044
2030,sc01,02-04 17:00:00+01:00,19.453693218160044
2030,sc01,02-04 19:00:00+01:00,19.491294531680044
2030,sc01,02-04 21:00:00+01:00,19.528895845200044
2030,sc01,02-04 23:00:00+01:00,19.566497158720043
2030,sc01,02-05 01:00:00+01:00,19.603574316260044
2030,sc01,02-05 03:00:00+01:00,19.640651473800045
2030,sc01,02-05 05:00:00+01:00,19.677728631340045
2030,sc01,02-05 07:00:00+01:00,19.714805788880046
2030,sc01,02-05 09:00:00+01:00,19.751882946420046
2030,sc01,02-05 11:00:00+01:00,19.788960103960047
2030,sc01,02-05 13:00:00+01:00,19.826037261500048
2030,sc01,02-05 15:00:00+01:00,19.86311441904005
2030,sc01,02-05 17:00:00+01:00,19.90019157658005
2030,sc01,02-05 19:00:00+01:00,19.93726873412005
2030,sc01,02-05 21:00:00+01:00,19.97434589166005
2030,sc01,02-05 23:00:00+01:00,20.01142304920005
2030,sc01,02-06 01:00:00+01:00,20.04689095510005
2030,sc01,02-06 03:00:00+01:00,20.08235886100005
2030,sc01,02-06 05:00:00+01:00,20.11782676690005
2030,sc01,02-06 07:00:00+01:00,20.153294672800047
2030,sc01,02-06 09:00:00+01:00,20.188762578700047
2030,sc01,02-06 11:00:00+01:00,20.224230484600046
2030,sc01,02-06 13:00:00+01:00,20.259698390500045
2030,sc01,02-06 15:00:00+01:00,20.295166296400044
2030,sc01,02-06 17:00:00+01:00,20.330634202300043
2030,sc01,02-06 19:00:00+01:00,20.366102108200042
2030,sc01,02-06 21:00:00+01:00,20.40157001410004
2030,sc01,02-06 23:00:00+01:00,20.43703792000004
2030,sc01,02-07 01:00:00+01:00,20.47073105096004
2030,sc01,02-07 03:00:00+01:00,20.50442418192004
2030,sc01,02-07 05:00:00+01:00,20.53811731288004
2030,sc01,02-07 07:00:00+01:00,20.57181044384004
2030,sc01,02-07 09:00:00+01:00,20.60550357480004
2030,sc01,02-07 11:00:00+01:00,20.63919670576004
2030,sc01,02-07 13:00:00+01:00,20.67288983672004
2030,sc01,02-07 15:00:00+01:00,20.70658296768004
2030,sc01,02-07 17:00:00+01:00,20.740276098640038
2030,sc01,02-07 19:00:00+01:00,20.773969229600038
2030,sc01,02-07 21:00:00+01:00,20.807662360560037
2030,sc01,02-07 23:00:00+01:00,20.841355491520037
2030,sc01,02-08 01:00:00+01:00,20.87318189170004
2030,sc01,02-08 03:00:00+01:00,20.90500829188004
2030,sc01,02-08 05:00:00+01:00,20.936834692060042
