Period,Scenario,LoadLevel,Aggreko_Boutoute,Boutoute,Centrale_C_Cap_CTag,Contour_Global,Dakar_CCGT_25,Dakar_OCGT_25,Diesel_Bel_Air,FKK_PV_25,Gas_Turbines,KPS_KarPowerShip,Kounoune_Power,LS_PV_2029,Malicounda_Power,Manantali,Secondary_Plants
2030,sc01,01-06 03:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,160.36794775748365,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-06 05:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,66.21243055665168,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-06 07:00:00+01:00,,,58.090663839887455,38.217981243,,,155.51842381712422,,17.877214342,161.41434249,,,,200.0,
2030,sc01,01-06 09:00:00+01:00,,,11.425345117887037,38.217981243,,,137.81244394742507,0.0,17.877214342,161.41434249,,0.0,,200.0,
2030,sc01,01-06 11:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,7.865999154391138,200.0,13.176499999999997
2030,sc01,01-06 13:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,53.99647629551597,200.0,13.176499999999997
2030,sc01,01-06 15:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,89.86379516521622,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-06 17:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,52.903263047536356,200.0,13.176499999999997
2030,sc01,01-06 19:00:00+01:00,,,12.648794045537995,38.217981243,,,161.28979444999996,0.0,17.877214342,134.2556406522789,,0.0,,200.0,
2030,sc01,01-06 21:00:00+01:00,,,107.84750436,38.217981243,,,161.28979444999996,,17.877214342,161.41434249,5.085923486167026,,,200.0,
2030,sc01,01-06 23:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,94.68019936308595,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-07 01:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,23.150432869624705,207.76500000000001,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-07 03:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,53.46743611326599,207.76500000000001,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-07 05:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,137.60467059353172,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-07 07:00:00+01:00,,,107.84750436,38.217981243,,,161.28979444999996,,17.877214342,159.75138220367938,,,,200.0,
2030,sc01,01-07 09:00:00+01:00,,,22.966008554747994,38.217981243,,,137.63589569964506,0.0,17.877214342,161.41434249,,0.0,,200.0,
2030,sc01,01-07 11:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,69.28390904989895,200.0,13.176499999999997
2030,sc01,01-07 13:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,57.91274435013552,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-07 15:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,146.2476779747041,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-07 17:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,66.58651775183208,200.0,13.176499999999997
2030,sc01,01-07 19:00:00+01:00,,,,38.217981243,,,134.37864414962087,0.0,13.461699955990888,161.41434249,,0.0,,200.0,
2030,sc01,01-07 21:00:00+01:00,,,107.84750436,38.217981243,,,161.28979444999996,,7.179865012256939,158.7328355577545,,,,200.0,
2030,sc01,01-07 23:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,33.460554198464415,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-08 01:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,160.88792200312773,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-08 03:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,162.54984785145336,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-08 05:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,56.06755235405972,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-08 07:00:00+01:00,,,2.1346424158878303,38.217981243,,,156.3324970381014,,17.877214342,161.41434249,,,,200.0,
