names,values
EB2_EnergyBalanceEachTS|2022|1979|Heat_Low_Residential|Thies,-335.6136355642995
EB2_EnergyBalanceEachTS|2022|2052|Heat_Low_Residential|Thies,-335.60731075552076
EB2_EnergyBalanceEachTS|2022|2125|Heat_Low_Residential|Thies,-335.5789866118594
EB2_EnergyBalanceEachTS|2022|2198|Heat_Low_Residential|Thies,-335.6088232097939
EB2_EnergyBalanceEachTS|2022|2271|Heat_Low_Residential|Thies,-335.62353526499663
EB2_EnergyBalanceEachTS|2022|2344|Heat_Low_Residential|Thies,-338.2138194612518
EB2_EnergyBalanceEachTS|2022|2417|Heat_Low_Residential|Thies,-337.3112142510905
EB2_EnergyBalanceEachTS|2022|2490|Heat_Low_Residential|Thies,-335.99359158878434
EB2_EnergyBalanceEachTS|2022|2563|Heat_Low_Residential|Thies,-335.6671214472328
EB2_EnergyBalanceEachTS|2022|2636|Heat_Low_Residential|Thies,-335.68320846086567
EB2_EnergyBalanceEachTS|2022|2709|Heat_Low_Residential|Thies,-335.6821084941215
EB2_EnergyBalanceEachTS|2022|2782|Heat_Low_Residential|Thies,-335.6987454911265
EB2_EnergyBalanceEachTS|2022|2855|Heat_Low_Residential|Thies,-335.7109826211549
EB2_EnergyBalanceEachTS|2022|2928|Heat_Low_Residential|Thies,-335.72033233848003
EB2_EnergyBalanceEachTS|2022|3001|Heat_Low_Residential|Thies,-335.71661995071855
EB2_EnergyBalanceEachTS|2022|3074|Heat_Low_Residential|Thies,-335.72761961815985
EB2_EnergyBalanceEachTS|2022|3147|Heat_Low_Residential|Thies,-335.7388942772872
EB2_EnergyBalanceEachTS|2022|3220|Heat_Low_Residential|Thies,-335.7577312077804
EB2_EnergyBalanceEachTS|2022|3293|Heat_Low_Residential|Thies,-335.7698308419658
EB2_EnergyBalanceEachTS|2022|3366|Heat_Low_Residential|Thies,-335.77093080871
EB2_EnergyBalanceEachTS|2022|3439|Heat_Low_Residential|Thies,-335.7604811246407
EB2_EnergyBalanceEachTS|2022|3512|Heat_Low_Residential|Thies,-335.76295604981505
EB2_EnergyBalanceEachTS|2022|3585|Heat_Low_Residential|Thies,-335.7859178555987
