Type,Sector,Region,Fuel,Year,Value
Final Energy Demand [TWh],Industry,Diourbel,H2,2040,0.25250025359249506
Final Energy Demand [TWh],Industry,Diourbel,H2,2045,0.5661062181741014
Final Energy Demand [TWh],Industry,Diourbel,H2,2050,0.7302614506408859
Final Energy Demand [TWh],Industry,Diourbel,Gas_Synth,2035,0.10880026755931713
Final Energy Demand [TWh],Industry,Diourbel,Gas_Synth,2040,0.014091987654920831
Final Energy Demand [TWh],Industry,Diourbel,Gas_Synth,2045,0.014943120278034334
Final Energy Demand [TWh],Industry,Diourbel,Gas_Synth,2050,0.08769746442839503
Final Energy Demand [TWh],Industry,Diourbel,Oil,2022,0.2586783700833334
Final Energy Demand [TWh],Industry,Diourbel,Oil,2025,0.25780206820833323
Final Energy Demand [TWh],Industry,Diourbel,Oil,2030,0.004336914204415484
Final Energy Demand [TWh],Industry,Diourbel,Oil,2035,0.005981695586958985
Final Energy Demand [TWh],Industry,Diourbel,Gas_Natural,2030,0.4204816212342571
Final Energy Demand [TWh],Industry,Diourbel,Gas_Natural,2035,0.9217097078673343
Final Energy Demand [TWh],Industry,Diourbel,Gas_Natural,2040,2.112061306696496
Final Energy Demand [TWh],Industry,Diourbel,Gas_Natural,2045,2.1964417047381337
Final Energy Demand [TWh],Industry,Diourbel,Gas_Natural,2050,2.076404885419574
Final Energy Demand [TWh],Industry,Diourbel,Hardcoal,2022,0.49762583083333367
Final Energy Demand [TWh],Industry,Diourbel,Hardcoal,2025,0.7060391582572354
Final Energy Demand [TWh],Industry,Diourbel,Hardcoal,2030,0.6708985129408649
Final Energy Demand [TWh],Industry,Diourbel,Hardcoal,2035,0.6245067112617092
Final Energy Demand [TWh],Industry,Diourbel,Hardcoal,2040,0.10885521166849027
Final Energy Demand [TWh],Industry,Diourbel,Hardcoal,2045,0.11125402903928332
Final Energy Demand [TWh],Industry,Diourbel,Hardcoal,2050,0.015968472229384176
Final Energy Demand [TWh],Industry,Diourbel,Biomass,2022,0.25648881343055546
Final Energy Demand [TWh],Industry,Diourbel,Biomass,2025,0.29884087485000016
Final Energy Demand [TWh],Industry,Diourbel,Biomass,2030,0.30572462417812307
Final Energy Demand [TWh],Industry,Diourbel,Biomass,2035,0.4484101536632121
Final Energy Demand [TWh],Industry,Diourbel,Biomass,2040,0.5389512781974004
Final Energy Demand [TWh],Industry,Diourbel,Biomass,2045,1.7077777777777734
Final Energy Demand [TWh],Industry,Diourbel,Biomass,2050,2.759999999999995
Final Energy Demand [TWh],Industry,Diourbel,Power,2025,0.07474852817685758
Final Energy Demand [TWh],Industry,Diourbel,Power,2030,0.2152303940387275
Final Energy Demand [TWh],Industry,Diourbel,Power,2035,0.22145072203465638
Final Energy Demand [TWh],Industry,Diourbel,Power,2040,0.3194869824081894
Final Energy Demand [TWh],Industry,Diourbel,Power,2045,0.4214124094857795
Final Energy Demand [TWh],Industry,Diourbel,Power,2050,1.3219750083805542
Final Energy Demand [TWh],Industry,Diourbel,Gas_Bio,2030,0.10000000000000014
Final Energy Demand [TWh],Industry,Diourbel,Gas_Bio,2050,0.2666666666666666
Final Energy Demand [TWh],Industry,Thies,H2,2035,0.13660734752068449
Final Energy Demand [TWh],Industry,Thies,H2,2040,0.3397899490919633
Final Energy Demand [TWh],Industry,Thies,H2,2045,1.0465404273718877
Final Energy Demand [TWh],Industry,Thies,H2,2050,1.3019472936101728
Final Energy Demand [TWh],Industry,Thies,Gas_Synth,2035,0.141411701561565
Final Energy Demand [TWh],Industry,Thies,Gas_Synth,2040,0.1917442746789167
Final Energy Demand [TWh],Industry,Thies,Gas_Synth,2045,0.020996075035182173
Final Energy Demand [TWh],Industry,Thies,Gas_Synth,2050,0.16684506541242852
Final Energy Demand [TWh],Industry,Thies,Oil,2022,0.3530744280833335
Final Energy Demand [TWh],Industry,Thies,Oil,2025,0.35189435425000354
Final Energy Demand [TWh],Industry,Thies,Oil,2030,0.002351401408398747
Final Energy Demand [TWh],Industry,Thies,Oil,2035,0.007766711330120405
Final Energy Demand [TWh],Industry,Thies,Gas_Natural,2030,0.7513697576872487
Final Energy Demand [TWh],Industry,Thies,Gas_Natural,2035,1.4469311189255016
Final Energy Demand [TWh],Industry,Thies,Gas_Natural,2040,5.8011557565972955
Final Energy Demand [TWh],Industry,Thies,Gas_Natural,2045,5.839488374596085
Final Energy Demand [TWh],Industry,Thies,Gas_Natural,2050,6.7144987692974665
Final Energy Demand [TWh],Industry,Thies,Hardcoal,2022,1.8616436028381977
Final Energy Demand [TWh],Industry,Thies,Hardcoal,2025,2.6936859344250816
Final Energy Demand [TWh],Industry,Thies,Hardcoal,2030,2.88688101963707
Final Energy Demand [TWh],Industry,Thies,Hardcoal,2035,3.637674660483511
Final Energy Demand [TWh],Industry,Thies,Hardcoal,2040,0.4939057695634169
Final Energy Demand [TWh],Industry,Thies,Hardcoal,2045,0.4937773447166874
Final Energy Demand [TWh],Industry,Thies,Hardcoal,2050,0.06716176346490656
Final Energy Demand [TWh],Industry,Thies,Biomass,2022,0.197826326006943
Final Energy Demand [TWh],Industry,Thies,Biomass,2025,0.23309702294111165
Final Energy Demand [TWh],Industry,Thies,Biomass,2030,0.23843438457781999
Final Energy Demand [TWh],Industry,Thies,Biomass,2035,0.45333333333333325
Final Energy Demand [TWh],Industry,Thies,Biomass,2040,0.46358744787614864
Final Energy Demand [TWh],Industry,Thies,Biomass,2045,1.4577777777777745
Final Energy Demand [TWh],Industry,Thies,Biomass,2050,2.2722222222222244
Final Energy Demand [TWh],Industry,Thies,Power,2025,0.1497780106337577
Final Energy Demand [TWh],Industry,Thies,Power,2030,0.5136465831374615
Final Energy Demand [TWh],Industry,Thies,Power,2035,0.5364198698471289
Final Energy Demand [TWh],Industry,Thies,Power,2040,0.8016056672849002
Final Energy Demand [TWh],Industry,Thies,Power,2045,2.8104738144123527
Final Energy Demand [TWh],Industry,Thies,Power,2050,5.931473142186674
