Model,Scenario,Region,Variable,Unit,2030
GENeSYS-MOD 4.0,ID_2030,FKK,Emission Rate|CO2|Electricity|Gas|Fossil|OCGT|w/o CCS,tons/MWh,0.20088
GENeSYS-MOD 4.0,ID_2030,FKK,Emission Rate|CO2|Electricity|Oil|w/o CCS,tons/MWh,0.6821289796752
GENeSYS-MOD 4.0,ID_2030,FKK,Final Energy|Electricity,MWh/yr,977552.0975082779
GENeSYS-MOD 4.0,ID_2030,FKK,Fixed Cost|Electricity|Battery|Lithium-Ion,EUR/MW/yr,280.0
GENeSYS-MOD 4.0,ID_2030,FKK,Fixed Cost|Electricity|Biomass|w/o CCS,EUR/MW/yr,41900.0
GENeSYS-MOD 4.0,ID_2030,FKK,Fixed Cost|Electricity|Coal|Hard coal|w/o CCS,EUR/MW/yr,36000.0
GENeSYS-MOD 4.0,ID_2030,FKK,Fixed Cost|Electricity|Coal|Lignite|w/o CCS,EUR/MW/yr,42000.0
GENeSYS-MOD 4.0,ID_2030,FKK,Fixed Cost|Electricity|Gas|Fossil|CCGT|w/o CCS,EUR/MW/yr,21000.0
GENeSYS-MOD 4.0,ID_2030,FKK,Fixed Cost|Electricity|Gas|Fossil|OCGT|w/o CCS,EUR/MW/yr,8000.0
GENeSYS-MOD 4.0,ID_2030,FKK,Fixed Cost|Electricity|Hydro|Pumped Storage,EUR/MW/yr,22500.0
GENeSYS-MOD 4.0,ID_2030,FKK,Fixed Cost|Electricity|Hydro|Run of River,EUR/MW/yr,76800.0
GENeSYS-MOD 4.0,ID_2030,FKK,Fixed Cost|Electricity|Nuclear,EUR/MW/yr,115000.0
GENeSYS-MOD 4.0,ID_2030,FKK,Fixed Cost|Electricity|Oil|w/o CCS,EUR/MW/yr,6510.0
GENeSYS-MOD 4.0,ID_2030,FKK,Fixed Cost|Electricity|Solar|PV|Rooftop|Commercial,EUR/MW/yr,6660.0
GENeSYS-MOD 4.0,ID_2030,FKK,Fixed Cost|Electricity|Solar|PV|Utility,EUR/MW/yr,12003.25
GENeSYS-MOD 4.0,ID_2030,FKK,Fixed Cost|Electricity|Wind|Onshore,EUR/MW/yr,20000.0
GENeSYS-MOD 4.0,ID_2030,FKK,Lifetime|Electricity|Battery|Lithium-Ion,years,20.0
GENeSYS-MOD 4.0,ID_2030,FKK,Lifetime|Electricity|Biomass|w/o CCS,years,40.0
GENeSYS-MOD 4.0,ID_2030,FKK,Lifetime|Electricity|Coal|Hard coal|w/o CCS,years,41.0
GENeSYS-MOD 4.0,ID_2030,FKK,Lifetime|Electricity|Coal|Lignite|w/o CCS,years,41.0
GENeSYS-MOD 4.0,ID_2030,FKK,Lifetime|Electricity|Gas|Fossil|CCGT|w/o CCS,years,31.0
GENeSYS-MOD 4.0,ID_2030,FKK,Lifetime|Electricity|Gas|Fossil|OCGT|w/o CCS,years,31.0
GENeSYS-MOD 4.0,ID_2030,FKK,Lifetime|Electricity|Hydro|Pumped Storage,years,50.0
GENeSYS-MOD 4.0,ID_2030,FKK,Lifetime|Electricity|Hydro|Run of River,years,50.0
GENeSYS-MOD 4.0,ID_2030,FKK,Lifetime|Electricity|Nuclear,years,61.0
GENeSYS-MOD 4.0,ID_2030,FKK,Lifetime|Electricity|Oil|w/o CCS,years,31.0
GENeSYS-MOD 4.0,ID_2030,FKK,Lifetime|Electricity|Solar|PV|Rooftop|Commercial,years,35.0
GENeSYS-MOD 4.0,ID_2030,FKK,Lifetime|Electricity|Solar|PV|Utility,years,35.0
GENeSYS-MOD 4.0,ID_2030,FKK,Lifetime|Electricity|Wind|Onshore,years,27.0
GENeSYS-MOD 4.0,ID_2030,FKK,Secondary Energy|Electricity|Solar|PV|Utility,MWh/yr,171973.34805758335
GENeSYS-MOD 4.0,ID_2030,FKK,Variable Cost|Electricity|Coal|Hard coal|w/o CCS,EUR/MWh,46.99051191939781
GENeSYS-MOD 4.0,ID_2030,FKK,Variable Cost|Electricity|Coal|Lignite|w/o CCS,EUR/MWh,244.9564622521318
GENeSYS-MOD 4.0,ID_2030,FKK,Variable Cost|Electricity|Gas|Fossil|CCGT|w/o CCS,EUR/MWh,87.06348244725649
GENeSYS-MOD 4.0,ID_2030,FKK,Variable Cost|Electricity|Gas|Fossil|OCGT|w/o CCS,EUR/MWh,122.6656343574978
GENeSYS-MOD 4.0,ID_2030,FKK,Variable Cost|Electricity|Nuclear,EUR/MWh,7.309714358125768
GENeSYS-MOD 4.0,ID_2030,FKK,Variable Cost|Electricity|Oil|w/o CCS,EUR/MWh,260.5624402189472
GENeSYS-MOD 4.0,ID_2030,FKK>Dakar,Network|Electricity|Loss Factor,-,3e-05
GENeSYS-MOD 4.0,ID_2030,FKK>Diourbel,Network|Electricity|Loss Factor,-,3e-05
GENeSYS-MOD 4.0,ID_2030,FKK>LS,Network|Electricity|Loss Factor,-,3e-05
GENeSYS-MOD 4.0,ID_2030,FKK>MTKK,Network|Electricity|Loss Factor,-,3e-05
GENeSYS-MOD 4.0,ID_2030,FKK>MTKK,Network|Electricity|Expansion Cost,EUR_2020/MW,1592100.0
GENeSYS-MOD 4.0,ID_2030,FKK>MTKK,Network|Electricity|Maximum Flow,MW,500.0
GENeSYS-MOD 4.0,ID_2030,FKK>Thies,Network|Electricity|Loss Factor,-,3e-05
GENeSYS-MOD 4.0,ID_2030,FKK>Thies,Network|Electricity|Expansion Cost,EUR_2020/MW,694665.9999999999
GENeSYS-MOD 4.0,ID_2030,FKK>Thies,Network|Electricity|Maximum Flow,MW,3000.0
GENeSYS-MOD 4.0,ID_2030,FKK>ZS,Network|Electricity|Loss Factor,-,3e-05
GENeSYS-MOD 4.0,ID_2030,FKK>ZS,Network|Electricity|Expansion Cost,EUR_2020/MW,1334000.0
GENeSYS-MOD 4.0,ID_2030,FKK>ZS,Network|Electricity|Maximum Flow,MW,500.0
GENeSYS-MOD 4.0,ID_2030,LS,Capacity|Electricity|Solar|PV|Utility,MW,58.250914586971
GENeSYS-MOD 4.0,ID_2030,LS,Capital Cost|Electricity|Battery|Lithium-Ion,EUR/MW,160000.0005184
GENeSYS-MOD 4.0,ID_2030,LS,Capital Cost|Electricity|Biomass|w/o CCS,EUR/MW,2330000.0
GENeSYS-MOD 4.0,ID_2030,LS,Capital Cost|Electricity|Coal|Hard coal|w/o CCS,EUR/MW,2758137.8619808
GENeSYS-MOD 4.0,ID_2030,LS,Capital Cost|Electricity|Coal|Lignite|w/o CCS,EUR/MW,1800000.0
GENeSYS-MOD 4.0,ID_2030,LS,Capital Cost|Electricity|Gas|Fossil|CCGT|w/o CCS,EUR/MW,698032.423533882
GENeSYS-MOD 4.0,ID_2030,LS,Capital Cost|Electricity|Gas|Fossil|OCGT|w/o CCS,EUR/MW,635677.340788036
GENeSYS-MOD 4.0,ID_2030,LS,Capital Cost|Electricity|Hydro|Pumped Storage,EUR/MW,1424245.4614799998
GENeSYS-MOD 4.0,ID_2030,LS,Capital Cost|Electricity|Hydro|Run of River,EUR/MW,2560000.0
GENeSYS-MOD 4.0,ID_2030,LS,Capital Cost|Electricity|Nuclear,EUR/MW,6000000.0
GENeSYS-MOD 4.0,ID_2030,LS,Capital Cost|Electricity|Oil|w/o CCS,EUR/MW,650000.0
GENeSYS-MOD 4.0,ID_2030,LS,Capital Cost|Electricity|Solar|PV|Rooftop|Commercial,EUR/MW,570000.0
GENeSYS-MOD 4.0,ID_2030,LS,Capital Cost|Electricity|Solar|PV|Utility,EUR/MW,380000.0
GENeSYS-MOD 4.0,ID_2030,LS,Capital Cost|Electricity|Wind|Onshore,EUR/MW,729013.064706364
GENeSYS-MOD 4.0,ID_2030,LS,Charging Efficiency|Electricity|Battery|Lithium-Ion,-,0.95
