Region,Sector,Technology,Type,PathwayScenario,Year,Value
ZS,Resources,Z_Import_Hardcoal,TotalCapacity,NZ_NZ,2040,0.00047604983847851555
ZS,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2022,0.11296124808022774
ZS,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2025,0.12568057613141523
ZS,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2030,0.10248469443497348
ZS,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2035,0.09773700383801462
ZS,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2040,0.05732272083909715
ZS,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2045,0.021711102402886324
MTKK,Resources,RES_Biogas,TotalCapacity,NZ_NZ,2035,0.8295314961553746
MTKK,Resources,RES_Biogas,TotalCapacity,NZ_NZ,2040,0.8295314961553746
MTKK,Resources,RES_Biogas,TotalCapacity,NZ_NZ,2045,1.9696732936278514
MTKK,Resources,RES_Biogas,TotalCapacity,NZ_NZ,2050,2.244515660685556
MTKK,Resources,RES_Grass,TotalCapacity,NZ_NZ,2022,0.7929864252000038
MTKK,Resources,RES_Grass,TotalCapacity,NZ_NZ,2025,0.9284643502751356
MTKK,Resources,RES_Grass,TotalCapacity,NZ_NZ,2030,1.201336848678756
MTKK,Resources,RES_Grass,TotalCapacity,NZ_NZ,2035,3.1920000000000033
MTKK,Resources,RES_Grass,TotalCapacity,NZ_NZ,2040,3.3040000000000034
MTKK,Resources,RES_Grass,TotalCapacity,NZ_NZ,2045,3.416000000000004
MTKK,Resources,RES_Grass,TotalCapacity,NZ_NZ,2050,3.5280000000000036
MTKK,Resources,RES_Residues,TotalCapacity,NZ_NZ,2045,1.674874725115705
MTKK,Resources,RES_Residues,TotalCapacity,NZ_NZ,2050,6.552000000000008
MTKK,Resources,RES_Wood,TotalCapacity,NZ_NZ,2035,0.6215241399243053
MTKK,Resources,RES_Wood,TotalCapacity,NZ_NZ,2040,2.238567478165373
MTKK,Resources,RES_Wood,TotalCapacity,NZ_NZ,2045,7.360000000000007
MTKK,Resources,RES_Wood,TotalCapacity,NZ_NZ,2050,7.360000000000007
MTKK,Resources,Z_Import_Hardcoal,TotalCapacity,NZ_NZ,2022,0.03120336452879263
MTKK,Resources,Z_Import_Hardcoal,TotalCapacity,NZ_NZ,2025,0.059307087003929664
MTKK,Resources,Z_Import_Hardcoal,TotalCapacity,NZ_NZ,2030,0.09191421207398376
MTKK,Resources,Z_Import_Hardcoal,TotalCapacity,NZ_NZ,2035,0.026649840800889706
