Type,Sector,Region,Fuel,Year,Value
Final Energy Demand [TWh],Industry,Diourbel,Power,2045,2.231955342523252
Final Energy Demand [TWh],Industry,Diourbel,Power,2050,3.6199664866247403
Final Energy Demand [TWh],Industry,Diourbel,Gas_Bio,2035,0.13333333333333344
Final Energy Demand [TWh],Industry,Diourbel,Gas_Bio,2040,0.13333333333333336
Final Energy Demand [TWh],Industry,Diourbel,Gas_Bio,2045,0.42465356021241907
Final Energy Demand [TWh],Industry,Diourbel,Gas_Bio,2050,0.27777777777777746
Final Energy Demand [TWh],Industry,Thies,H2,2035,0.3426655645443051
Final Energy Demand [TWh],Industry,Thies,H2,2040,0.6380159319381442
Final Energy Demand [TWh],Industry,Thies,H2,2045,1.0668390635215188
Final Energy Demand [TWh],Industry,Thies,H2,2050,2.715790997548576
Final Energy Demand [TWh],Industry,Thies,Oil,2022,0.35307442808333134
Final Energy Demand [TWh],Industry,Thies,Oil,2025,0.3518943542499955
Final Energy Demand [TWh],Industry,Thies,Oil,2030,0.0023514014083987705
Final Energy Demand [TWh],Industry,Thies,Gas_Natural,2025,0.10359545535240237
Final Energy Demand [TWh],Industry,Thies,Gas_Natural,2030,0.6658696375566762
Final Energy Demand [TWh],Industry,Thies,Gas_Natural,2035,1.781798885103483
Final Energy Demand [TWh],Industry,Thies,Gas_Natural,2040,1.7165588830597143
Final Energy Demand [TWh],Industry,Thies,Gas_Natural,2045,0.3895794837719208
Final Energy Demand [TWh],Industry,Thies,Hardcoal,2022,1.8616436028381989
Final Energy Demand [TWh],Industry,Thies,Hardcoal,2025,2.7517212249644047
Final Energy Demand [TWh],Industry,Thies,Hardcoal,2030,3.54945876707513
Final Energy Demand [TWh],Industry,Thies,Hardcoal,2035,0.719369414833084
Final Energy Demand [TWh],Industry,Thies,Hardcoal,2040,0.18749644495430784
Final Energy Demand [TWh],Industry,Thies,Biomass,2022,0.19782632600694391
Final Energy Demand [TWh],Industry,Thies,Biomass,2025,0.2330970229411105
Final Energy Demand [TWh],Industry,Thies,Biomass,2030,0.4533333333333344
Final Energy Demand [TWh],Industry,Thies,Biomass,2035,1.813333333333333
Final Energy Demand [TWh],Industry,Thies,Biomass,2040,2.4611111111111175
Final Energy Demand [TWh],Industry,Thies,Biomass,2045,2.362222222222224
Final Energy Demand [TWh],Industry,Thies,Biomass,2050,2.0349267547534096
Final Energy Demand [TWh],Industry,Thies,Power,2025,0.011485597918870265
Final Energy Demand [TWh],Industry,Thies,Power,2030,0.04220977372869061
Final Energy Demand [TWh],Industry,Thies,Power,2035,1.1079168493161002
Final Energy Demand [TWh],Industry,Thies,Power,2040,3.0536158508002713
Final Energy Demand [TWh],Industry,Thies,Power,2045,7.401573728592677
Final Energy Demand [TWh],Industry,Thies,Power,2050,11.144884202677448
Final Energy Demand [TWh],Industry,Thies,Gas_Bio,2035,0.12475099889328549
Final Energy Demand [TWh],Industry,Thies,Gas_Bio,2040,0.12393639137145009
Final Energy Demand [TWh],Industry,Thies,Gas_Bio,2045,0.08714948766406994
Final Energy Demand [TWh],Industry,Thies,Gas_Bio,2050,0.26666666666666583
Final Energy Demand [TWh],Industry,LS,H2,2035,0.04932355611101121
Final Energy Demand [TWh],Industry,LS,H2,2040,0.15311537250757018
Final Energy Demand [TWh],Industry,LS,H2,2045,0.2230417232670429
Final Energy Demand [TWh],Industry,LS,H2,2050,0.42207009374118987
Final Energy Demand [TWh],Industry,LS,Gas_Synth,2045,0.05673287005589023
Final Energy Demand [TWh],Industry,LS,Gas_Synth,2050,0.0010229371305707495
Final Energy Demand [TWh],Industry,LS,Oil,2022,0.3136820179555556
Final Energy Demand [TWh],Industry,LS,Oil,2025,0.31262578717222195
Final Energy Demand [TWh],Industry,LS,Oil,2030,0.008358944137965897
Final Energy Demand [TWh],Industry,LS,Gas_Natural,2025,0.04288809292412754
Final Energy Demand [TWh],Industry,LS,Gas_Natural,2030,0.27510475634609693
Final Energy Demand [TWh],Industry,LS,Gas_Natural,2035,0.4189560714963178
Final Energy Demand [TWh],Industry,LS,Gas_Natural,2040,0.7149650974781263
Final Energy Demand [TWh],Industry,LS,Hardcoal,2022,0.18518518513888915
Final Energy Demand [TWh],Industry,LS,Hardcoal,2025,0.2822799283169982
Final Energy Demand [TWh],Industry,LS,Hardcoal,2030,0.2194974728160867
Final Energy Demand [TWh],Industry,LS,Hardcoal,2035,0.09491908238799296
Final Energy Demand [TWh],Industry,LS,Hardcoal,2040,0.030366507069727405
Final Energy Demand [TWh],Industry,LS,Biomass,2022,0.2579813976388887
Final Energy Demand [TWh],Industry,LS,Biomass,2025,0.3573068383993513
Final Energy Demand [TWh],Industry,LS,Biomass,2030,0.7677442063368005
Final Energy Demand [TWh],Industry,LS,Biomass,2035,1.0136942094395638
Final Energy Demand [TWh],Industry,LS,Biomass,2040,1.2156380906888316
Final Energy Demand [TWh],Industry,LS,Biomass,2045,1.4393849615219616
Final Energy Demand [TWh],Industry,LS,Biomass,2050,1.5447547915719078
Final Energy Demand [TWh],Industry,LS,Power,2025,0.014131657821597988
Final Energy Demand [TWh],Industry,LS,Power,2030,0.06082139468158526
Final Energy Demand [TWh],Industry,LS,Power,2035,0.16255126996923647
Final Energy Demand [TWh],Industry,LS,Power,2040,0.3847656038697163
Final Energy Demand [TWh],Industry,LS,Power,2045,1.198899872993782
Final Energy Demand [TWh],Industry,LS,Power,2050,2.371156308722689
Final Energy Demand [TWh],Industry,LS,Gas_Bio,2035,0.11111111111111133
