Region,Sector,Emission,Technology,Type,PathwayScenario,Year,Value
ZS,Industry,CO2,HLI_Hardcoal,Emissions,NZ_NZ,2022,0.03755999999061005
ZS,Industry,CO2,HLI_Hardcoal,Emissions,NZ_NZ,2025,0.041813044510636034
ZS,Industry,CO2,HLI_Hardcoal,Emissions,NZ_NZ,2030,0.027827842777384416
ZS,Industry,CO2,HLI_Hardcoal,Emissions,NZ_NZ,2035,0.013890161284317266
ZS,Industry,CO2,HLI_Oil_Boiler,Emissions,NZ_NZ,2022,0.004788235293160004
ZS,Industry,CO2,HLI_Oil_Boiler,Emissions,NZ_NZ,2025,0.00478139495812
ZS,Industry,CO2,HLI_Oil_Boiler,Emissions,NZ_NZ,2030,0.0014686501734499935
ZS,Industry,CO2,HMI_Oil,Emissions,NZ_NZ,2022,0.005585309426339947
ZS,Industry,CO2,HMI_Oil,Emissions,NZ_NZ,2025,0.0055638302903099944
ZS,Industry,CO2,HMI_HardCoal,Emissions,NZ_NZ,2022,0.02659926739248001
ZS,Industry,CO2,HMI_HardCoal,Emissions,NZ_NZ,2025,0.03498932938317087
ZS,Industry,CO2,HMI_HardCoal,Emissions,NZ_NZ,2030,0.06005940230822276
ZS,Industry,CO2,HMI_HardCoal,Emissions,NZ_NZ,2035,0.009199747665352668
MTKK,Industry,CO2,HHI_BF_BOF,Emissions,NZ_NZ,2025,0.05380892726299122
MTKK,Industry,CO2,HHI_BF_BOF,Emissions,NZ_NZ,2030,0.05637931314612134
MTKK,Industry,CO2,HHI_BF_BOF,Emissions,NZ_NZ,2035,0.03528474197979293
MTKK,Industry,CO2,HHI_BF_BOF,Emissions,NZ_NZ,2040,0.038722835385521605
MTKK,Industry,CO2,HLI_Gas_Boiler,Emissions,NZ_NZ,2025,0.005399236707446887
MTKK,Industry,CO2,HLI_Gas_Boiler,Emissions,NZ_NZ,2030,0.034891262031848745
MTKK,Industry,CO2,HLI_Gas_Boiler,Emissions,NZ_NZ,2035,0.022015202680833627
MTKK,Industry,CO2,HLI_Gas_Boiler,Emissions,NZ_NZ,2040,0.057749247986738944
MTKK,Industry,CO2,HLI_Hardcoal,Emissions,NZ_NZ,2022,0.03255199999186205
MTKK,Industry,CO2,HLI_Hardcoal,Emissions,NZ_NZ,2025,0.03507245485295754
MTKK,Industry,CO2,HLI_Hardcoal,Emissions,NZ_NZ,2030,0.023341776971460438
MTKK,Industry,CO2,HLI_Hardcoal,Emissions,NZ_NZ,2035,0.0116509586959303
MTKK,Industry,CO2,HLI_Oil_Boiler,Emissions,NZ_NZ,2022,0.013494117644359994
MTKK,Industry,CO2,HLI_Oil_Boiler,Emissions,NZ_NZ,2025,0.013474840336519998
MTKK,Industry,CO2,HLI_Oil_Boiler,Emissions,NZ_NZ,2030,0.0015381146611311933
MTKK,Industry,CO2,HMI_Oil,Emissions,NZ_NZ,2022,0.041579525729420024
MTKK,Industry,CO2,HMI_Oil,Emissions,NZ_NZ,2025,0.041419625494529884
MTKK,Industry,CO2,HMI_HardCoal,Emissions,NZ_NZ,2022,0.05984835163308
MTKK,Industry,CO2,HMI_HardCoal,Emissions,NZ_NZ,2025,0.08674056685553123
MTKK,Industry,CO2,HMI_HardCoal,Emissions,NZ_NZ,2030,0.19245806886794595
MTKK,Industry,CO2,HMI_HardCoal,Emissions,NZ_NZ,2035,0.03427680944527633
Dakar,Transportation,CO2,FRT_Road_PHEV,Emissions,NZ_NZ,2025,0.015484442845155443
Dakar,Transportation,CO2,FRT_Road_PHEV,Emissions,NZ_NZ,2030,0.01366981439524526
Dakar,Transportation,CO2,FRT_Road_PHEV,Emissions,NZ_NZ,2035,0.012612004743651225
Dakar,Transportation,CO2,FRT_Road_PHEV,Emissions,NZ_NZ,2040,0.011133172111634693
Dakar,Transportation,CO2,FRT_Road_PHEV,Emissions,NZ_NZ,2045,0.012301032781090144
Dakar,Transportation,CO2,FRT_Rail_Conv,Emissions,NZ_NZ,2022,0.004354124402392471
Dakar,Transportation,CO2,FRT_Rail_Conv,Emissions,NZ_NZ,2025,0.0008390284783169104
Dakar,Transportation,CO2,FRT_Rail_Conv,Emissions,NZ_NZ,2030,0.0022639521868138505
Dakar,Transportation,CO2,FRT_Rail_Conv,Emissions,NZ_NZ,2035,0.0005738112074081194
Dakar,Transportation,CO2,FRT_Rail_Conv,Emissions,NZ_NZ,2040,0.0003463742053099991
Dakar,Transportation,CO2,FRT_Rail_Conv,Emissions,NZ_NZ,2045,0.00018851632156109346
Dakar,Transportation,CO2,FRT_Road_ICE,Emissions,NZ_NZ,2022,0.31197741895699127
Dakar,Transportation,CO2,FRT_Road_ICE,Emissions,NZ_NZ,2025,0.23528114307367257
Dakar,Transportation,CO2,FRT_Road_ICE,Emissions,NZ_NZ,2030,0.30760306169230195
Dakar,Transportation,CO2,FRT_Road_ICE,Emissions,NZ_NZ,2035,0.3148815231670396
Dakar,Transportation,CO2,FRT_Road_ICE,Emissions,NZ_NZ,2040,0.3508931638396585
Dakar,Transportation,CO2,FRT_Road_ICE,Emissions,NZ_NZ,2045,0.26417914345808263
Dakar,Transportation,CO2,FRT_Ship_Conv,Emissions,NZ_NZ,2022,0.002820233681745368
Dakar,Transportation,CO2,FRT_Ship_Conv,Emissions,NZ_NZ,2025,0.0031451624079232078
Dakar,Transportation,CO2,FRT_Ship_Conv,Emissions,NZ_NZ,2030,0.004906388007362046
Dakar,Transportation,CO2,FRT_Ship_Conv,Emissions,NZ_NZ,2035,0.005468831735678224
Dakar,Transportation,CO2,FRT_Ship_Conv,Emissions,NZ_NZ,2040,0.0072619463001880255
Dakar,Transportation,CO2,FRT_Ship_Conv,Emissions,NZ_NZ,2045,0.0068960139077746205
Dakar,Transportation,CO2,PSNG_Air_Conv,Emissions,NZ_NZ,2022,0.03572953621671066
Dakar,Transportation,CO2,PSNG_Air_Conv,Emissions,NZ_NZ,2025,0.029630470582309186
Dakar,Transportation,CO2,PSNG_Air_Conv,Emissions,NZ_NZ,2030,0.012520965416282582
Dakar,Transportation,CO2,PSNG_Air_Conv,Emissions,NZ_NZ,2035,0.016364151064728123
Dakar,Transportation,CO2,PSNG_Air_Conv,Emissions,NZ_NZ,2040,0.021387062125364033
Dakar,Transportation,CO2,PSNG_Air_Conv,Emissions,NZ_NZ,2045,0.027952820951262534
Dakar,Transportation,CO2,PSNG_Rail_Conv,Emissions,NZ_NZ,2035,0.04748909211558657
