,Dakar,Diourbel,Thies,LS,FKK,ZS,MTKK
5752,251.90464016976458,252.14762362383763,251.9200186028377,252.30404599983774,252.27355995213907,252.3467470710581,251.6002158797115
5753,251.90451770970353,252.1474545623822,251.91984954138223,252.30387693838225,252.27347022516355,252.3448178252157,251.6002071530935
5754,251.90416881559327,252.147063114483,251.91945809348306,252.30348549048307,252.27340880813554,252.34473634243628,251.6002071530935
5755,251.90357072218248,252.14625569909794,251.918650678098,252.302678075098,252.27339896131807,252.34415986896227,251.6002071530935
5756,251.90355831308477,252.14549633516788,251.91789131416792,252.30191871116787,252.27331710642218,252.34223914146972,251.6002071530935
5757,251.90352690359987,252.1454701658255,251.91786514482547,252.30189254182557,252.27312147104738,252.34181129158333,251.60016007803668
5758,251.90349336244034,252.14541508340378,251.91781006240384,252.30183745940388,252.27295455789138,252.34178960072953,251.60016007803668
5759,251.90347902046915,252.14472660563382,251.91712158463392,252.30114898163387,252.27273023857407,252.34170896998972,251.6000577564432
5760,251.9033529110332,252.14432138377907,251.91671636277914,252.30074375977915,252.27131468526605,252.34154156496527,251.6000577564432
5761,251.90311390965812,252.1442115277826,251.9166065067826,252.30063390378263,252.27111843405757,252.3405721366857,251.6000577564432
5762,251.90310601617324,252.1439340375119,251.91632901651195,252.30035641351196,252.26673693275876,252.34039142392862,251.60004902982516
