Timestep,Hydro|Reservoir_MTKK_0
869,325262.11098278738791
870,325274.95062044088263
871,325281.15456901595462
872,325276.3482081767288
873,325283.88181069033453
874,325296.72144834382925
875,325309.56108599732397
876,325322.40072365081869
877,325335.24036130431341
878,325348.07999895780813
879,325360.91963661130285
880,325373.75927426479757
881,325386.59891191829229
882,325334.19366824155441
883,325147.03330589504912
884,324959.87294354854384
885,324772.71258120203856
886,324585.55221885553328
887,324398.391856509028
888,324224.3031596512883
889,324106.64204959874041
890,324038.47537355229724
891,324008.66245211136993
892,324003.583742802497
893,324001.41926339355996
894,323969.11108790861908
895,323934.56177377322456
896,323908.98743948881747
897,323910.46803366369568
898,323923.04188305599382
899,323935.61573244829196
900,323948.18958184059011
901,323960.76343123288825
902,323973.33728062518639
903,323985.91113001748454
904,323998.48497940978268
905,324011.05882880208082
906,323964.18520473915851
907,323776.75905413145665
908,323589.33290352375479
909,323401.90675291605294
910,323214.48060230835108
911,323027.06869836366968
912,322921.80595082289074
913,322891.14860328490613
914,322903.53844482603017
915,322915.92828636715421
916,322928.31812790827826
917,322940.7079694494023
918,322953.09781099052634
919,322965.48765253165038
920,322977.87749407277443
921,322990.26733561389847
922,323002.65717715502251
923,323015.04701869614655
924,323027.43686023727059
925,323039.82670177839464
926,323052.21654331951868
927,323064.60638486064272
928,323076.99622640176676
929,323089.3860679428908
930,323101.77590948401485
931,322996.08307169919135
932,322826.08181978896027
933,322641.93840255838586
934,322467.64400243666023
935,322307.02679500542581
936,322191.71760907332646
937,322133.27768784936052
938,322100.14720028842567
939,322112.27806751715252
940,322124.40893474587938
941,322136.53980197460623
942,322148.67066920333309
943,322160.80153643205995
944,322172.9324036607868
945,322185.06327088951366
946,322197.19413811824052
947,322209.32500534696737
948,322221.45587257569423
949,322233.58673980442109
950,322245.71760703314794
951,322257.8484742618748
952,322269.97934149060166
953,322282.11020871932851
954,322294.24107594805537
955,322178.58651682152413
956,322015.02409052138682
957,321828.76835001813015
958,321647.58503231283976
