,MTKK-0,MTKK-1,MTKK-2,MTKK-3,MTKK-4,MTKK-5,MTKK-6,MTKK-7,MTKK-8,MTKK-9,MTKK-10,MTKK-11,MTKK-12,MTKK-13,MTKK-14,MTKK-15
2030-09-24 22:00:00,256007.22344741528,398404.3382337824,356418.0605194637,497204.8550629303,269943.6954208572,333524.27369030245,197321.4238410736,392504.0415538861,329484.53122773126,343381.8605545161,422985.72438003175,328564.2130226662,340719.73445948074,374342.84068164666,299785.20627551584,380830.2281839637
2030-09-24 23:00:00,256260.1073355472,398547.57982512354,356534.33194558835,497522.323377348,270047.0607282256,333528.5140908028,197408.4496185556,392658.96543826413,329595.15970478713,343745.2389356943,423135.3065841066,328761.7062750696,340962.60973595065,374399.75869658217,299983.4767118799,380942.9006299386
2030-09-25 00:00:00,256492.03629326413,398722.3798573439,356645.57755626057,497846.74250000453,270189.3532941633,333539.9208252896,197501.43304057364,392810.9540386069,329716.42346916086,344105.1380167182,423303.0266070097,328982.6681953315,341197.1023433577,374471.75123049086,300174.69768812886,381093.6911197125
2030-09-25 01:00:00,256732.87826927484,398905.9531179081,356766.06029508146,498179.8544332504,270346.23149987427,333564.91245196457,197602.93161718175,392971.5506609888,329845.82479453244,344473.89160372404,423485.12014088087,329217.05273413344,341440.1247686364,374552.48918384325,300374.670128093,381253.130829528
2030-09-25 02:00:00,256989.9903118513,399105.8018025022,356902.6530635522,498529.2846851498,270498.382265164,333613.70073334314,197721.0424035898,393148.9760018878,329992.05178809626,344858.8657541738,423662.1851482848,329473.8897935049,341699.53554428456,374649.59328549507,300591.3362667162,381428.9915009673
2030-09-25 03:00:00,257258.77127570505,399316.0555039184,357048.8308938564,498889.6066571475,270660.4714622782,333664.80983791134,197850.32746991375,393337.5590747241,330149.23208754044,345255.81305582414,423849.19340486656,329733.1698700782,341970.2545244861,374757.66275254183,300819.1003889302,381616.6493642297
2030-09-25 04:00:00,257525.41902646128,399524.15043506864,357192.86447636195,499247.6406107812,270825.1625949276,333728.19129586907,197977.46516770727,393524.2678449546,330304.1849768507,345650.66205462447,424038.7407047598,330004.9842840031,342238.78163846425,374863.3905062664,301044.71726028214,381802.0994388071
2030-09-25 05:00:00,257798.51564136415,399738.79596619064,357343.4003213451,499612.71317410446,270997.54395805777,333798.1715964816,198112.06885353243,393718.13525256177,330465.7580835528,346054.0560708967,424235.4229855424,330283.5216896992,342514.1427721155,374975.88543908694,301277.0863185592,381994.6379782311
2030-09-25 06:00:00,258071.5596271819,399953.43285807193,357493.9967924723,499977.43245973793,271173.5448094438,333871.6852631529,198246.68540626296,393912.30488249514,330627.35720277886,346457.1793231519,424435.2086070733,330565.120303791,342789.2684744393,375087.2454518364,301508.8909478934,382187.10615181806
2030-09-25 07:00:00,258360.1303665132,400183.92054291465,357660.4174745789,500358.17635453073,271356.60040993185,333957.0944309261,198397.308690587,394122.5139729447,330804.7443635568,346875.99767910247,424642.12327166565,330858.7131517466,343080.0914236383,375214.08362212253,301756.4689554978,382395.505019156
